Easting (m)	Northing (m)	Ground Surface (relative to TBM)	Bottom of Gravel Layer Depth (below ground surface)	Height (m)  (relative to TBM)	Height (m) AOD	Point	Feature							
416018.5	92817.1	0.29					9mE at 1m along path							
416019.3	92817.5	0.33					10mE at 1m along path							
416020.2	92818.0	0.37					11mE at 1m along path							
416021.1	92818.5	0.29					12mE at 1m along path							
416022.0	92818.9	0.31					13mE at 1m along path							
416022.8	92819.4	0.40					14mE at 1m along path							
416023.6	92819.9	0.25					15mE at 1m along path							
416024.6	92820.4	0.34					16mE at 1m along path							
416025.4	92820.9	0.24					17mE at 1m along path							
416026.2	92821.3	0.04					18mE at 1m along path							
416027.0	92821.8	-0.09					19mE at 1m along path							
416027.9	92822.2	0.28					20mE at 1m along path							
416028.8	92822.7	0.31					21mE at 1m along path							
416029.7	92823.2	0.28					22mE at 1m along path							
416030.5	92823.7	0.29					23mE at 1m along path							
416031.4	92824.1	0.33					24mE at 1m along path							
416032.4	92824.7	0.31					25mE at 1m along path							
416033.4	92825.3	0.31					26mE at 1m along path							
416034.1	92825.6	0.20					26.6mE at 1m along path							
416013.9	92816.9	0.25					5mE at neg1m along path							
416014.7	92817.4	0.24					6mE at neg1m along path							
416015.6	92817.9	0.29					7mE at neg1m along path							
416016.5	92818.4	0.16					8mE at neg1m along path							
416017.5	92818.9	0.12					9mE at neg1m along path							
416018.3	92819.4	0.10					10mE at neg1m along path							
416019.2	92819.9	0.11					11mE at neg1m along path							
416020.1	92820.4	0.07					12mE at neg1m along path							
416021.0	92820.8	0.07					13mE at neg1m along path							
416021.8	92821.3	0.10					14mE at neg1m along path							
416022.6	92821.7	0.14					15mE at neg1m along path							
416023.6	92822.3	0.04					16mE at neg1m along path							
416024.4	92822.7	-0.03					17mE at neg1m along path							
416025.2	92823.2	-0.07					18mE at neg1m along path							
416026.1	92823.7	-0.15					19mE at neg1m along path							
416026.9	92824.1	-0.02					20mE at neg1m along path							
416027.8	92824.6	0.14					21mE at neg1m along path							
416028.7	92825.1	0.05					22mE at neg1m along path							
416029.5	92825.5	0.07					23mE at neg1m along path							
416030.4	92826.0	0.19					24mE at neg1m along path							
416013.4	92817.8	0.23					5mE at neg2m along path							
416014.3	92818.2	-0.09					6mE at neg2m along path							
416016.0	92819.2	-0.87					8mE at neg2m along path							
416017.0	92819.7	-0.85					9mE at neg2m along path							
416017.9	92820.2	-0.87					10mE at neg2m along path							
416018.7	92820.7	-0.89					11mE at neg2m along path							
416019.6	92821.2	-0.87					12mE at neg2m along path							
416024.0	92823.5	-0.80					17mE at neg2m along path							
416024.7	92824.0	-0.97					18mE at neg2m along path							
416025.6	92824.4	-0.80					19mE at neg2m along path							
416018.9	92820.4	-0.23					"-1.6,11m"							
416018.0	92819.9	-0.17					"-1.63,10m"							
416016.9	92819.9	-0.85					"-2.06,9m"							
416017.2	92819.4	-0.20					"-1.65,9m"							
416015.9	92819.3	-0.87					"-2.06,8m"							
416016.2	92818.8	-0.09					"-1.60,8m"							
416014.1	92818.6	-0.86					"-2.28,6m"							
416013.1	92818.3	-0.82					"-2.60,5m"							
416019.8	92820.8	-0.17					"-1.52,12m"							
416020.7	92821.3	-0.30					"-1.65,13m"							
416020.5	92821.5	-0.80					"-1.90,13m"							
416021.5	92821.8	-0.18					"-1.60,14m"							
416021.4	92822.0	-0.87					"-1.80,14"							
416022.4	92822.2	-0.18					"-1.64,15m"							
